"size","gender","age","edu","wealthC"
14,"2",1,0,5
15,"1",48,3,5
15,"2",47,2,5
15,"2",29,3,5
15,"2",27,2,5
15,"1",19,2,5
15,"2",21,2,5
15,"2",16,2,5
15,"2",15,2,5
15,"2",13,2,5
15,"1",8,0,5
15,"1",6,0,5
15,"1",4,0,5
15,"1",3,0,5
15,"1",3,0,5
15,"1",1,0,5
5,"1",31,3,3
5,"2",25,2,3
5,"2",5,0,3
5,"2",3,0,3
5,"1",8,0,3
8,"2",61,0,5
8,"1",28,3,5
8,"2",23,0,5
8,"2",33,1,5
8,"2",26,2,5
8,"2",8,1,5
8,"2",12,1,5
8,"1",15,1,5
11,"1",56,2,3
11,"2",54,0,3
11,"1",36,0,3
11,"1",20,2,3
11,"2",20,2,3
11,"2",15,1,3
11,"1",17,1,3
11,"1",6,0,3
11,"2",5,0,3
11,"1",2,0,3
11,"1",1,0,3
7,"1",42,3,5
7,"2",28,1,5
7,"2",15,2,5
7,"2",11,1,5
7,"2",9,1,5
7,"1",7,0,5
7,"1",7,0,5
15,"1",33,3,5
15,"2",25,3,5
15,"1",27,3,5
15,"1",18,2,5
15,"2",17,2,5
15,"2",13,1,5
15,"1",22,2,5
15,"2",34,2,5
15,"1",14,1,5
15,"1",50,0,5
15,"1",3,0,5
15,"1",4,0,5
15,"2",60,0,5
15,"2",54,0,5
15,"1",15,2,5
7,"1",45,2,3
7,"2",40,1,3
7,"2",18,1,3
7,"2",16,1,3
7,"1",11,1,3
7,"2",7,0,3
7,"2",2,0,3
8,"1",43,2,5
8,"2",35,2,5
8,"1",18,2,5
8,"2",16,1,5
8,"1",13,1,5
8,"1",12,1,5
8,"2",8,1,5
8,"2",4,0,5
4,"1",49,3,5
4,"1",15,2,5
4,"2",17,2,5
4,"1",10,1,5
1,"1",71,3,5
7,"1",52,3,5
7,"2",48,0,5
7,"2",56,0,5
